Date and Time: 2026-01-26 10:56:35,,,,,,,,,,
Approximate Polling Time: 100 ms,,,,,,,,,,
Comments: No comments provided,,,,,,,,,,
timestamp/s,voltage/V,current/A,thermistor_0/C,thermistor_1/C,thermistor_2/C,thermistor_3/C,thermistor_4/C,thermistor_5/C,thermistor_6/C,thermistor_7/C
0,4.4,2.58,31.90805,31.90994,32.09702,32.10318,32.16794,32.0687,32.03882,32.03485
0.093689919,3.524,2.169,31.93188,31.91501,32.09576,32.10086,32.16504,32.0661,32.03842,32.03275
0.145040989,2.812,1.905,31.95166,31.92154,32.09659,32.10025,32.16357,32.06335,32.03653,32.03268
0.220696926,2.321,1.579,31.96561,31.92599,32.09509,32.09933,32.1626,32.0614,32.03519,32.03391
0.296646833,1.552,1.275,31.98434,31.93323,32.09506,32.10056,32.16101,32.06021,32.03381,32.03125
0.372250795,1.025,0.915,31.99826,31.93863,32.09705,32.10013,32.16049,32.05978,32.03271,32.03165
0.451250792,0.228,0.614,32.01999,31.9483,32.10043,32.10013,32.15833,32.05789,32.03189,32.03128
0.521890879,-0.299,-0.409,32.03339,31.95447,32.10214,32.10141,32.15784,32.05682,32.03149,32.02911
0.599230766,-1.094,-0.342,32.05374,31.9639,32.10632,32.10345,32.15714,32.05643,32.02917,32.02737
0.674845934,-1.612,-0.487,32.06674,31.97101,32.10837,32.10529,32.1568,32.05469,32.02902,32.02576
0.749825954,-2.378,-0.676,32.0867,31.98306,32.11191,32.10696,32.15567,32.05402,32.02798,32.02618
0.824710846,-2.876,-0.969,32.09732,31.99091,32.11481,32.10971,32.15485,32.05435,32.02869,32.02588
0.901716948,-3.586,-1.248,32.11386,32.00226,32.12259,32.11276,32.15552,32.05219,32.02573,32.02414
0.977807999,-4.028,-1.577,32.12384,32.00983,32.12616,32.11554,32.15555,32.05295,32.02597,32.0231
1.053729773,-4.655,-1.863,32.13547,32.02048,32.13077,32.11942,32.1568,32.0513,32.02493,32.02371
1.128709793,-5.041,-2.173,32.14774,32.02728,32.13516,32.12283,32.15625,32.05362,32.02509,32.01974
1.204954863,-5.557,-2.439,32.15509,32.03958,32.14273,32.12668,32.15628,32.05273,32.02414,32.01776
1.280404806,-5.867,-2.707,32.16434,32.04541,32.14944,32.13013,32.15704,32.05264,32.02292,32.01709
1.358071804,-6.264,-2.925,32.16718,32.05362,32.15518,32.13409,32.15833,32.05255,32.02191,32.01743
1.433448792,-6.481,-3.138,32.17706,32.06165,32.15448,32.13629,32.15854,32.0546,32.02451,32.01788
1.509170771,-6.74,-3.304,32.17731,32.06995,32.16467,32.14185,32.15985,32.05515,32.02371,32.01682
1.584069967,-6.865,-3.454,32.17496,32.0773,32.1647,32.14645,32.15991,32.0578,32.02386,32.01236
1.65779686,-6.976,-3.561,32.17838,32.08054,32.17477,32.14886,32.16373,32.05533,32.0228,32.0166
1.733215809,-7,-3.641,32.17331,32.08511,32.18091,32.15338,32.16663,32.05713,32.02557,32.00848
1.809655905,-6.959,-3.689,32.17307,32.08978,32.1842,32.15692,32.16635,32.05975,32.02521,32.01376
1.884399891,-6.882,-3.702,32.17163,32.09177,32.18704,32.16,32.16718,32.06042,32.02701,32.0112
1.961040974,-6.691,-3.69,32.16101,32.095,32.19824,32.16605,32.16907,32.06241,32.02402,32.01996
2.03589797,-6.515,-3.635,32.15494,32.09448,32.20029,32.17154,32.17447,32.06412,32.02365,32.01804
2.112658978,-6.18,-3.563,32.14532,32.09628,32.2009,32.17026,32.17438,32.06396,32.02737,32.0152
2.1874578,-5.915,-3.441,32.13745,32.09598,32.2049,32.17151,32.177,32.06631,32.02597,32.01779
2.264152765,-5.449,-3.311,32.12369,32.09525,32.20624,32.17584,32.17862,32.0665,32.0289,32.01538
2.339905977,-5.102,-3.122,32.11304,32.09424,32.20758,32.17755,32.18033,32.06735,32.02924,32.01675
2.416744947,-4.522,-2.935,32.09464,32.08847,32.20978,32.1813,32.18469,32.06732,32.03122,32.01974
2.491597891,-4.099,-2.688,32.08569,32.08856,32.2084,32.17999,32.18597,32.07257,32.03204,32.01608
2.568873882,-3.426,-2.449,32.07047,32.08331,32.21072,32.18326,32.18701,32.07108,32.03293,32.01862
2.642750978,-2.956,-2.147,32.05743,32.08035,32.2088,32.18115,32.18777,32.07437,32.03482,32.02219
2.719127893,-2.213,-1.867,32.04114,32.07147,32.21017,32.18484,32.19131,32.07626,32.03513,32.01825
2.793869972,-1.698,-1.523,32.02762,32.06763,32.20853,32.18274,32.19171,32.07535,32.035,32.02112
2.872333765,-0.92,-1.208,32.01089,32.05902,32.20746,32.18137,32.19275,32.0788,32.03754,32.02426
2.946202993,-0.386,-0.838,31.99683,32.0531,32.20483,32.18268,32.19363,32.07919,32.03757,32.02325
3.021787882,0.413,0.541,31.97772,32.04489,32.20282,32.18011,32.1944,32.07944,32.03781,32.02484
3.096743822,0.937,0.388,31.96759,32.03708,32.20145,32.17889,32.19464,32.07874,32.03894,32.02878
3.174784899,1.723,0.368,31.94962,32.02765,32.1969,32.17737,32.19568,32.08289,32.04074,32.02411
3.251596928,2.238,0.538,31.9368,32.02051,32.19119,32.17538,32.19601,32.08313,32.04196,32.02582
3.33560586,2.972,0.741,31.92126,32.0116,32.18774,32.17175,32.19669,32.08148,32.04251,32.02753
3.399832964,3.449,1.035,31.91016,32.00406,32.18521,32.17096,32.19595,32.08246,32.04291,32.02917
3.477950811,4.121,1.309,31.89423,31.99301,32.17987,32.16678,32.19659,32.08368,32.0423,32.03088
3.552517891,4.536,1.628,31.88364,31.98627,32.17319,32.16348,32.19492,32.08197,32.04453,32.02789
3.629799843,5.114,1.902,31.87167,31.97519,32.16861,32.1586,32.19501,32.08554,32.04623,32.03009
3.711067915,5.465,2.194,31.86569,31.96951,32.16681,32.15906,32.19446,32.08362,32.04428,32.03159
3.779539824,5.928,2.44,31.85416,31.95856,32.16177,32.15286,32.19379,32.08148,32.04541,32.03134
3.854545832,6.192,2.684,31.84747,31.95294,32.15454,32.15005,32.19281,32.08209,32.04504,32.03357
3.932908773,6.524,2.881,31.8425,31.944,32.14923,32.14563,32.1908,32.08249,32.04688,32.03235
4.008080959,6.696,3.064,31.83957,31.93835,32.14447,32.14267,32.1897,32.08142,32.04578,32.03397
4.084286928,6.886,3.205,31.83176,31.93311,32.14276,32.13818,32.18573,32.08264,32.04471,32.02982
4.157970905,6.961,3.326,31.83322,31.92368,32.1333,32.13504,32.18796,32.07895,32.04297,32.03271
4.234165907,7,3.406,31.83624,31.9194,32.12585,32.12863,32.18591,32.0788,32.04544,32.03317
4.309710979,6.974,3.456,31.83405,31.91553,32.12405,32.12744,32.18423,32.07874,32.0448,32.03351
4.384919882,6.86,3.477,31.84171,31.91333,32.11469,32.12518,32.18085,32.07602,32.04669,32.0307
4.460832834,6.733,3.456,31.841,31.90839,32.11624,32.12155,32.17996,32.07632,32.0444,32.03632
4.537915945,6.475,3.413,31.85178,31.90704,32.10815,32.1199,32.17889,32.07285,32.04419,32.02908
4.612210989,6.252,3.326,31.85501,31.90439,32.10684,32.11487,32.17596,32.07257,32.04245,32.03284
4.689715862,5.852,3.22,31.86563,31.90381,32.10547,32.10986,32.17349,32.07117,32.04291,32.03604
4.767299891,5.546,3.065,31.87549,31.90457,32.09924,32.10843,32.17285,32.07068,32.04086,32.03174
4.839808941,5.023,2.906,31.88962,31.90582,32.09793,32.10687,32.17041,32.06747,32.03943,32.03299
4.914688826,4.636,2.684,31.90036,31.90701,32.09766,32.10449,32.16861,32.06702,32.03809,32.03442
4.993041992,4.014,2.47,31.91553,31.91165,32.09473,32.10153,32.16751,32.06622,32.0383,32.03049
5.067229986,3.563,2.193,31.92883,31.9144,32.09412,32.10123,32.16577,32.06476,32.03833,32.03134
5.142359972,2.852,1.931,31.94913,31.92001,32.09482,32.09988,32.1629,32.06216,32.03571,32.03375
5.217823982,2.363,1.602,31.96463,31.92383,32.09244,32.09808,32.16183,32.05994,32.03561,32.03046
5.294413805,1.595,1.299,31.98352,31.93243,32.09515,32.09891,32.1611,32.06042,32.03326,32.02985
5.369592905,1.068,0.937,31.99759,31.93768,32.09854,32.10071,32.1608,32.05994,32.03351,32.03247
5.445570946,0.281,0.634,32.01651,31.94745,32.09888,32.09985,32.15796,32.05594,32.03217,32.02792
5.51984477,-0.254,-0.419,32.03162,31.9534,32.10178,32.09982,32.15775,32.05542,32.03061,32.02927
5.598803997,-1.051,-0.34,32.05121,31.96295,32.10342,32.10275,32.15717,32.05554,32.02942,32.0274
5.673775911,-1.57,-0.477,32.06573,31.97131,32.10803,32.10446,32.15637,32.05405,32.02762,32.02615
5.748837948,-2.338,-0.661,32.08453,31.98276,32.11282,32.10706,32.155,32.0546,32.02762,32.02536
5.829868793,-2.836,-0.952,32.09692,31.98944,32.11472,32.10904,32.15549,32.05438,32.02603,32.02307
5.900882959,-3.547,-1.228,32.11237,32.00079,32.12125,32.11237,32.15518,32.05237,32.02573,32.02246
5.975088835,-3.992,-1.556,32.12155,32.00818,32.12726,32.11389,32.15509,32.05273,32.02448,32.02078
6.050849915,-4.622,-1.844,32.13693,32.02029,32.12979,32.11801,32.15564,32.05267,32.02524,32.01749
6.128451824,-5.005,-2.155,32.14514,32.02722,32.13412,32.12045,32.15576,32.05319,32.02408,32.01907
6.217117786,-5.531,-2.421,32.15588,32.03839,32.14365,32.12448,32.15637,32.05103,32.02484,32.01749
6.278357983,-5.843,-2.689,32.16235,32.04681,32.14493,32.12708,32.15753,32.05121,32.02325,32.01706
6.355227947,-6.245,-2.91,32.17056,32.05313,32.1517,32.13223,32.15665,32.05334,32.02216,32.01505
6.430715799,-6.464,-3.125,32.17407,32.0596,32.15582,32.13626,32.15906,32.05472,32.02325,32.01501
6.507482767,-6.728,-3.294,32.17792,32.06833,32.16513,32.14426,32.16162,32.05789,32.02682,32.02063
6.581580877,-6.854,-3.445,32.17435,32.07431,32.1701,32.14209,32.16068,32.05548,32.02185,32.00955
6.658370972,-6.972,-3.553,32.17737,32.07996,32.17395,32.14999,32.16296,32.05615,32.0235,32.01346
6.734756947,-6.998,-3.636,32.17813,32.08197,32.18289,32.15506,32.16516,32.05893,32.0267,32.01944
6.810655832,-6.964,-3.687,32.17331,32.08923,32.18433,32.15652,32.16672,32.05908,32.02432,32.01331
6.886002779,-6.89,-3.702,32.16696,32.09238,32.19193,32.16245,32.16837,32.06256,32.02789,32.01199
